"ALKBH5" "FTO" "IGF2BP1" "IGF2BP2" "IGF2BP3" "METTL14" "METTL3" "KIAA1429" "WTAP" "YTHDC1" "YTHDC2" "YTHDF1" "YTHDF2" "YTHDF3" "RBM15" "CancerType"
"Sample_5806" -0.54964 -0.672114 0.50335 0.22911 0.021445 -0.15988 0.027734 -0.96236 -0.035903 -0.06955 -0.36156 0.17622 -0.553881 0.234849 -0.22939 "BLCA"
"Sample_5807" -0.184228 -0.514545 -0.44018 -0.34605 -0.126807 -0.29039 0.111328 -1.82955 0.273238 -0.50095 -0.51629 0.49953 0.016454 0.147362 -0.61023 "BLCA"
"Sample_5808" 0.304228 -0.214093 -0.30918 -0.43989 -0.141711 0.0157 0.811206 -0.13227 -0.439473 0.7952 0.89011 0.62631 0.355352 -0.11167 -0.26041 "BLCA"
"Sample_5809" 0.041799 -0.437725 -0.46887 -0.7478 -0.1589 -0.17768 0.732644 0.0947 0.22555 0.81616 0.44179 0.2714 -0.142942 -0.224828 -0.22649 "BLCA"
"Sample_5810" -0.608064 -0.14629 -0.19906 -0.45256 -0.128995 -0.13782 0.541882 0.22647 0.068602 0.06971 0.04752 0.39354 -0.125489 -0.23101 -0.34082 "BLCA"
"Sample_5811" -0.647867 -0.455577 -0.29854 -0.35871 -0.122596 -0.22307 -0.053271 -1.1578 -0.457873 -1.2666 -0.5114 -0.33381 -0.432067 -0.281306 -0.90713 "BLCA"
"Sample_5812" -0.641481 -0.498185 0.6826 -0.39565 -0.054346 -0.00079 -0.226054 -0.81798 -0.822201 -0.68454 -0.82567 -0.31213 -0.972311 -0.425474 -1.1128 "BLCA"
"Sample_5813" -0.408338 -0.323161 -0.33952 -0.33331 -0.010886 -0.09529 -0.481308 -2.07692 0.154094 -0.70819 -1.18235 -0.45074 -0.337598 0.126426 -0.94621 "BLCA"
"Sample_5814" -0.402082 -0.016643 -0.19986 -0.26847 0.229945 0.2664 -0.125084 0.05302 0.562451 0.27822 0.0462 -0.70344 -0.47428 0.13903 -0.53773 "BLCA"
"Sample_5815" -0.380744 -0.462276 0.2219 -0.29854 -0.027024 -0.06538 0.372063 -0.44696 -0.582361 -0.27984 0.42181 0.09323 -0.158999 -0.093932 -0.63551 "BLCA"
"Sample_5816" -0.32074 -0.374292 -0.23122 -0.57491 -0.000326 -0.03578 0.104413 0.02972 -0.880791 0.07776 0.05678 -0.55622 -0.473949 0.178993 -0.076377 "BLCA"
"Sample_5817" -0.410646 -0.539139 -0.0276 0.06016 -0.167462 -0.23464 0.002049 -1.02097 -0.503988 -0.95647 -0.40188 -0.01906 -0.343111 -0.298655 -1.2929 "BLCA"
"Sample_5818" -0.419332 -0.386616 -0.12871 -0.39883 -0.036688 0.09422 0.291588 0.10209 -0.066699 0.5035 0.49967 0.06966 -0.367254 -0.238415 -0.32219 "BLCA"
"Sample_5819" -1.867078 -0.311545 1.02523 -0.29776 0.075219 -0.19853 -0.953446 -1.54802 -1.17671 -1.20919 -0.56886 -1.20343 -2.392442 -1.614973 -2.6956 "BLCA"
"Sample_5820" -0.103572 0.570219 -0.24458 -0.34287 -0.043333 0.22603 -0.060446 -0.0359 -0.348436 -0.10684 -0.14423 -0.03389 -0.450446 0.065046 -0.34797 "BLCA"
"Sample_5821" 0.003758 -0.091864 -0.86425 -0.68648 -0.128781 0.09983 -0.092203 0.07862 -0.2367 0.05971 -0.75106 -0.11361 -0.176098 -0.158629 -0.044851 "BLCA"
"Sample_5822" 0.072248 -0.000938 -0.57669 -0.31498 0.132834 0.09472 0.245293 -0.61523 0.582346 -0.03488 -0.84124 0.30707 0.233766 0.358415 -0.39927 "BLCA"
"Sample_5823" -1.436491 -1.184851 -0.07851 -0.07482 0.013155 0.04243 -0.653811 -1.17125 -1.679151 -0.98322 -0.84444 -0.77071 -2.16709 -1.107993 -2.2752 "BLCA"
"Sample_5824" 0.019412 -0.368978 -0.86276 -0.24416 -0.151868 0.0248 -0.067767 -0.77552 -0.428371 -0.243 0.00357 0.13565 -0.071358 0.024991 -0.30015 "BLCA"
"Sample_5825" -0.007705 -0.531313 -0.73245 -0.14587 -0.172077 -0.39315 0.11215 -0.13664 -0.077276 -0.12433 -0.11203 0.55907 -0.045408 0.187454 -0.44575 "BLCA"
"Sample_5826" -0.26471 -0.813526 -0.30986 -0.17626 -0.089417 -0.54067 -0.189264 0.10008 1.147081 0.42248 0.50661 -0.26119 -0.710955 -0.383065 -0.15215 "BLCA"
"Sample_5827" -0.43043 -0.237592 0.97731 -0.01472 0.012669 -0.12207 -0.214824 -2.41535 -0.204889 -0.90475 -0.94102 -0.05295 -0.569321 -0.296014 -0.76712 "BLCA"
"Sample_5828" 0.310476 -0.044512 -0.2828 -0.59102 -0.142418 -0.12831 0.716121 0.02885 0.120922 0.98315 0.82288 0.61876 0.00162 -0.26897 -0.063986 "BLCA"
"Sample_5829" -0.110531 -1.00213 -0.34071 -0.21024 -0.312548 -0.54394 0.022264 -0.18787 -0.152547 0.87683 1.72633 0.93977 0.225235 0.214794 0.010363 "BLCA"
"Sample_5830" -0.169286 -0.342323 0.55496 -0.7669 -0.162733 -0.36412 0.108531 -0.03363 -0.227964 0.43593 0.56527 0.8866 0.280646 0.086047 -0.36078 "BLCA"
"Sample_5831" -0.203874 -0.688839 -0.39419 -0.49069 -0.229774 -0.22506 -0.106086 -1.51427 -0.129306 -0.95759 -0.39979 0.12433 -0.096897 -0.21164 -0.7408 "BLCA"
"Sample_5832" -0.006915 -0.440849 -0.38458 -0.6795 -0.123493 -0.18283 0.289227 -0.08564 -0.251585 0.18742 0.51189 0.29012 -0.038695 0.103081 -0.42096 "BLCA"
"Sample_5833" -0.115365 -0.25217 -0.26702 -0.72977 -0.198083 -0.24927 0.421466 0.06332 -0.421576 0.466 0.64995 0.42206 0.253884 0.180652 -0.22669 "BLCA"
"Sample_5834" -0.140781 0.19328 -0.20951 -0.7201 -0.224016 -0.31799 0.100836 0.10229 -0.340491 0.60051 1.17634 0.56972 -0.14603 -0.035008 -0.34037 "BLCA"
"Sample_5835" -0.299229 -0.374667 0.13961 -0.67639 -0.244397 -0.41401 0.100514 -0.51581 -0.321701 -0.62262 -0.02449 1.05233 0.02924 0.911548 -0.5572 "BLCA"
"Sample_5836" -0.064186 -0.188372 -0.22671 -0.46428 -0.068271 -0.06743 0.020403 -0.12848 -0.373162 1.09421 0.77765 -0.25397 -0.339028 -0.198239 -0.59415 "BLCA"
"Sample_5837" -0.566968 -0.433195 0.86118 -0.38538 -0.250944 -0.33935 -0.556365 -0.2556 -0.756358 0.39675 -0.49236 0.34614 -0.03086 -0.234541 -0.2584 "BLCA"
"Sample_5838" -0.874337 -0.278546 -0.40818 -0.68414 -0.142031 -0.32762 0.426437 0.03576 -0.367025 0.72563 0.79632 0.14851 0.164264 0.445606 -0.20296 "BLCA"
"Sample_5839" -0.400971 -0.481889 -0.34966 -0.72181 -0.108844 -0.10118 0.318343 -0.04623 -0.66744 0.18995 0.54924 0.1894 -0.27561 -0.052051 -0.26013 "BLCA"
"Sample_5840" -0.4181 -0.178764 0.72599 0.00213 0.069536 -0.25497 0.033432 -1.31363 0.474828 -0.81975 -0.25367 0.09645 -0.427824 -0.262233 -1.8819 "BLCA"
"Sample_5841" 0.10117 -0.161996 -0.41962 -0.49838 -0.150273 -0.28828 0.250253 0.15862 0.136978 0.96728 0.025 0.8359 0.299208 0.527597 0.32877 "BLCA"
"Sample_5842" -0.738433 -0.609324 -0.10311 -0.24984 -0.11141 -0.22853 -0.270706 -0.88243 -0.08396 -1.1195 -0.66668 -0.12277 -0.968972 -0.584063 -1.9192 "BLCA"
"Sample_5843" -0.049816 -0.198935 -0.2092 -0.66078 -0.246339 -0.55562 -0.130439 -1.07846 -0.001581 -0.31703 -0.28144 0.21216 -0.470998 0.216925 -0.54629 "BLCA"
"Sample_5844" -0.344828 0.028315 -0.1367 -0.26478 -0.148858 0.28052 0.264063 0.48068 0.736638 0.08486 0.24251 0.74194 0.205872 0.526754 -0.088271 "BLCA"
"Sample_5845" 0.220015 -0.338415 0.31931 -0.29314 -0.164197 -0.02192 -0.046616 0.14581 -0.113339 1.0195 0.65452 0.56664 0.500383 -0.017223 -0.021081 "BLCA"
"Sample_5846" -0.167889 -0.556422 0.39535 -0.30478 -0.025757 -0.00618 0.455324 -0.08343 -0.525155 0.13535 0.47504 0.27075 -0.352146 -0.086675 -0.80072 "BLCA"
"Sample_5847" -0.271514 0.014306 0.46373 -0.62066 -0.053294 0.07886 0.679351 0.34271 -0.919397 0.50072 1.38093 0.21271 0.43445 0.605344 0.13684 "BLCA"
"Sample_5848" -0.617991 -0.415106 -0.03543 -0.15681 -0.184587 -0.10182 0.117422 -0.06232 -0.816131 1.39926 0.67157 0.45442 -0.053917 -0.017223 -0.70793 "BLCA"
"Sample_5849" 0.407333 -0.633221 0.15973 -0.01013 -0.168968 -0.1582 -0.218245 -1.17539 -0.499012 -0.31928 0.38471 0.6383 0.028611 0.387571 -0.62088 "BLCA"
"Sample_5850" -0.96558 -0.257462 0.96635 0.1193 0.142827 0.57669 -0.258539 -1.00028 -1.194998 -0.49399 -0.41896 -0.46914 -1.198293 -0.917496 -2.4683 "BLCA"
"Sample_5851" -0.23716 -0.365704 0.05129 -0.11227 -0.116987 0.03355 0.788568 -0.26622 0.418124 0.63643 -0.03759 1.07028 0.279445 0.671543 -0.36436 "BLCA"
"Sample_5852" -0.318979 0.038449 0.72466 -0.27451 -0.023709 -0.28823 0.427352 -0.32312 -0.246307 -0.44316 -0.43801 1.02923 -0.081286 0.057123 -0.80833 "BLCA"
"Sample_5853" -0.691705 -0.733754 0.40685 0.06498 0.075639 0.07422 -0.128037 -0.93372 -0.571259 -0.46402 -0.91537 0.20928 -1.313257 -1.116677 -2.0746 "BLCA"
"Sample_5854" -0.052914 -0.420538 0.28177 -0.21242 -0.139103 0.09656 0.644568 0.03534 0.341212 0.27529 0.13452 1.07699 0.055831 0.199113 -0.55595 "BLCA"
"Sample_5855" -0.369889 0.130727 -0.81564 -0.48866 -0.166969 -0.12206 0.25382 -0.09571 -0.074386 0.13488 -0.32382 0.24665 -0.186368 -0.164042 -0.5409 "BLCA"
"Sample_5856" -0.284903 -0.378886 -0.21137 -0.47289 0.047296 0.21824 0.495099 0.26778 -0.824008 0.27853 1.05265 -0.20936 -0.232356 -0.136285 -0.37114 "BLCA"
"Sample_5857" 0.12846 -0.54471 -0.39601 -0.16802 -0.028866 0.03476 0.041169 -1.50149 0.611836 -0.72567 0.36878 0.80133 0.408476 0.242504 -0.6781 "BLCA"
"Sample_5858" -0.269908 0.146626 0.58572 -0.01446 -0.102667 -0.16454 0.042146 -0.21665 -0.503631 0.78449 0.69188 0.67965 0.027685 1.003456 0.24823 "BLCA"
"Sample_5859" -1.864761 -0.987208 0.50648 0.1217 0.138164 0.17097 -0.67544 -1.2642 -0.420427 -0.59179 -0.57052 -0.56314 -2.517448 -1.518561 -2.4011 "BLCA"
"Sample_5860" -0.846509 -0.414323 -0.01272 -0.22454 -0.124011 -0.01863 0.289383 -0.09783 0.77819 -0.58213 -0.22783 0.07742 -0.028436 -0.15482 -0.28419 "BLCA"
"Sample_5861" 0.07775 0.081045 -0.37098 -0.24152 0.183071 -0.2466 0.493154 -0.55716 -0.689355 -0.58037 -0.29195 0.75002 -0.084214 -0.000319 -1.0893 "BLCA"
"Sample_5862" -0.506383 -0.617054 0.93072 -0.22192 0.007619 -0.35381 -0.065541 -1.51481 -0.936402 -0.81292 -0.51297 0.43579 -0.67605 -0.263178 -0.96359 "BLCA"
"Sample_5863" -0.205036 -0.332404 0.02373 -0.4276 0.086035 0.13118 0.75941 0.16935 -0.151644 0.38814 1.21713 0.11741 -0.60911 -0.05308 -0.45646 "BLCA"
"Sample_5864" -0.386835 -0.101665 0.22952 -0.10158 0.04899 -0.10629 -0.257749 -0.07089 -0.273332 -0.58314 -0.30158 0.22046 -0.358985 -0.169213 -0.89753 "BLCA"
"Sample_5865" 0.356206 -0.102728 -0.18867 -0.20595 -0.161606 -0.2744 0.741857 -0.02189 -0.063496 0.14085 0.43668 0.96887 -0.055701 0.645936 -0.029843 "BLCA"
"Sample_5866" -0.334042 0.773358 -0.05845 -0.17036 -0.072268 -0.07014 0.332382 -0.38522 -0.7718 0.11173 0.59095 0.21242 -0.62694 0.049579 -0.77131 "BLCA"
"Sample_5867" 0.026276 -0.22705 -0.21453 0.10091 -0.164831 0.22628 0.438156 0.30251 -0.259172 0.23127 0.12224 0.75275 0.004308 -0.068019 -0.4425 "BLCA"
"Sample_5868" 0.234254 0.365341 -0.12747 -0.47577 -0.185195 7e-04 0.699306 0.33874 -0.280082 -0.15642 -0.81625 0.80025 1.007804 0.199669 -0.20432 "BLCA"
"Sample_5869" -0.392406 -0.609292 -0.3272 -0.0569 0.095609 -0.1506 -0.235891 -1.46345 -0.355979 -0.97209 -0.76715 -0.49987 -1.053719 -0.505917 -1.9676 "BLCA"
"Sample_5870" -0.086894 -0.575477 -0.53487 0.08522 -0.198511 -0.0856 0.346347 -1.5738 0.224199 -0.92326 -0.30225 1.16177 0.917498 0.49604 -1.0727 "BLCA"
"Sample_5871" -0.280512 -0.066808 -0.4005 0.06364 0.052642 0.26549 0.252541 -0.31172 -0.175332 -0.80133 -0.27654 0.55959 -0.242969 0.142904 -0.73631 "BLCA"
"Sample_5872" 0.398438 -0.18324 0.15269 0.45684 -0.370681 -0.32121 0.401147 -0.78372 -0.293628 -0.87208 -0.60253 1.2777 0.4678 0.279733 -0.25788 "BLCA"
"Sample_5873" 0.359755 -0.189671 -0.53464 -0.25279 -0.035742 -0.13331 -0.074869 -1.28681 -0.462626 -0.89269 -0.34856 0.33139 0.079677 -0.15002 -0.37593 "BLCA"
"Sample_5874" 0.688756 -0.026423 -0.63213 -0.64331 -0.349108 -0.41557 0.411244 -0.01097 -0.237839 0.21664 0.94648 1.30696 0.234304 0.449563 -0.016743 "BLCA"
"Sample_5875" -0.437607 -0.091756 -0.29149 0.11578 0.003244 -0.09611 0.074611 -1.59301 0.59279 -0.92382 -0.42119 0.53137 0.050856 -0.604322 -2.5568 "BLCA"
"Sample_5876" -1.149782 -0.989806 0.07805 0.34286 0.063688 -0.15001 -0.696715 -1.2741 -1.441052 -1.13631 -1.54366 -0.50472 -2.127129 -1.541619 -3.498 "BLCA"
"Sample_5877" -0.663139 0.137233 0.22285 -0.28939 -0.026645 0.02474 -0.079434 -0.9401 -0.360207 -1.03307 -0.33899 -0.14009 -0.43042 -0.333158 -1.0787 "BLCA"
"Sample_5878" -0.155697 -0.026273 -0.22409 -0.06686 -0.092485 0.16162 -0.568771 -2.08713 -0.620354 -1.12134 -0.38287 0.813 0.147338 -0.056972 -1.355 "BLCA"
"Sample_5879" 0.498323 -0.004738 -0.24678 -0.62896 -0.183731 -0.15005 0.275439 -0.17583 -0.579003 0.46813 0.56372 1.11032 -0.166136 0.295738 -0.2238 "BLCA"
"Sample_5880" -0.368092 -0.146151 -0.48601 -0.48705 -0.242037 -0.23238 0.313362 0.01415 -0.121674 0.43255 0.83212 0.44802 0.12714 0.239057 0.29739 "BLCA"
"Sample_5881" 0.19538 -0.158185 -0.47295 0.43405 -0.030955 -0.05885 -0.209593 -2.50982 0.071715 -1.10029 0.2935 0.38174 0.46605 -0.003062 -1.2705 "BLCA"
"Sample_5882" -0.101108 -0.5282 -0.47972 -0.08486 -0.061041 -0.19754 -0.127621 0.12849 0.017343 0.0698 0.11522 0.22535 0.012131 0.407237 0.086808 "BLCA"
"Sample_5883" -0.053192 0.185336 2.51534 0.54551 0.235768 0.15026 0.414468 0.25711 0.198413 0.45529 0.23189 -0.1916 -0.105955 0.828482 -0.10181 "BLCA"
"Sample_5884" -0.313998 -0.338426 0.68618 0.52942 0.247241 0.61778 -0.56039 -0.15187 -0.650927 -0.73025 0.11168 -0.19731 -0.699816 0.002388 -1.1272 "BLCA"
"Sample_5885" 0.006821 0.088184 -0.62181 -0.38333 -0.036754 -0.02371 0.281106 -1.8661 0.194263 -1.06425 0.35183 1.01859 0.850947 0.072943 -0.72047 "BLCA"
"Sample_5886" -0.625029 -0.016751 0.45012 0.03561 0.161169 -0.0265 -0.143385 -0.87165 0.160923 -0.40841 0.01012 0.18576 0.482405 0.794414 -0.31026 "BLCA"
"Sample_5887" -0.183178 -0.335055 -0.26296 0.21258 0.170726 -0.20566 -0.416681 -0.4819 -0.364124 -0.64463 0.26025 -0.10338 -0.258775 0.1913 -0.62294 "BLCA"
"Sample_5888" -0.262368 -0.036364 -0.16507 -0.09833 0.110709 -0.01248 -0.33604 -1.95842 -0.143331 -1.22309 -0.5398 -0.51114 -0.417839 -0.495371 -2.4555 "BLCA"
"Sample_5889" -0.504691 -0.112013 -0.42136 -0.1193 0.079718 -0.23092 -0.228373 -0.38483 0.066683 -0.24686 0.1978 -0.19798 -0.034154 0.088355 -0.46962 "BLCA"
"Sample_5890" -0.61334 -0.239395 0.47873 -0.34758 -0.006165 -0.06062 -0.536587 -1.1501 -0.87288 -0.8685 -1.05561 -0.62312 -1.044192 -0.359868 -0.91158 "BLCA"
"Sample_5891" -0.242896 -0.335141 -0.54324 -0.13392 0.122578 0.66472 -0.152193 0.6152 -0.411021 0.80587 0.3508 -0.38072 -0.392495 -0.02232 -0.03307 "BLCA"
"Sample_5892" -0.017814 0.260385 -0.37776 -0.40726 0.141594 0.41502 0.352368 0.52637 0.137123 0.80993 0.91887 -0.00543 0.359366 -0.05155 -0.29586 "BLCA"
"Sample_5893" 0.257883 0.959633 -0.33803 0.06058 0.174057 0.26236 -0.091236 0.70862 0.650097 0.57493 -0.01515 -0.1524 0.163853 0.015177 0.25499 "BLCA"
"Sample_5894" 0.105239 0.22891 0.00279 -0.1198 0.194989 0.17654 -0.068578 0.15387 -0.103296 -0.01638 -0.41616 0.04506 -0.178705 0.53945 -0.49015 "BLCA"
"Sample_5895" -0.518774 -0.33045 0.60728 0.08988 0.305613 0.42781 -0.008931 -0.34112 -0.543097 -0.76117 -0.54498 -0.49128 -0.996272 -0.365688 -1.1783 "BLCA"
"Sample_5896" -0.178518 -0.221704 -0.67148 -0.51742 0.009791 -0.05876 0.142222 0.25859 -0.458642 0.40188 -0.06485 0.1095 -0.009679 -0.05599 -0.11393 "BLCA"
"Sample_5897" 0.74279 0.359265 -0.64362 -0.40745 0.103348 0.06168 0.112462 0.24144 0.517652 0.46499 0.38016 -0.06878 0.557751 0.461407 0.27708 "BLCA"
"Sample_5898" -0.414985 -0.246974 -0.28819 -0.26864 0.080845 0.10051 0.012854 -0.92968 0.122105 -0.97511 0.04237 0.00243 -0.533592 -0.174551 -1.2565 "BLCA"
"Sample_5899" -0.012182 0.138939 -0.79676 -0.1274 0.155008 0.1334 -0.13803 0.19958 -0.043401 0.3609 -0.38982 0.28373 0.113119 0.24812 -0.33529 "BLCA"
"Sample_5900" -0.009605 0.110567 -0.57159 -0.25675 0.114057 0.08284 0.200257 -0.05922 0.521446 0.17614 0.59626 0.09899 0.000728 0.49871 -0.27111 "BLCA"
"Sample_5901" 0.216075 -0.091145 0.13662 0.35315 0.129692 0.03843 -0.3397 -1.24408 0.053394 -1.0375 -0.70929 -0.00475 -0.078243 0.033091 -1.1939 "BLCA"
"Sample_5902" -0.23224 -0.020948 1.26296 0.38369 0.263157 0.30158 -0.665114 -1.84014 0.390374 -1.02889 0.30097 -0.26349 -0.071587 -0.524712 -1.7886 "BLCA"
"Sample_5903" -0.185131 0.146722 0.16053 0.08006 0.002142 0.08106 0.056632 -0.13223 -0.422402 -0.68098 -0.65577 -0.40623 -0.129126 -0.041662 -0.93857 "BLCA"
"Sample_5904" -0.490365 -0.093066 -0.19834 0.35137 0.068187 0.1498 -0.14089 -0.25256 -0.553552 -0.94056 -0.61484 -0.60587 -0.450595 -0.459255 -1.23 "BLCA"
"Sample_5905" -0.428756 -0.163177 -0.60592 -0.27376 0.120119 0.21419 -0.128339 -0.37892 -0.084016 -1.03254 -1.06072 -0.42036 -0.124826 -0.066898 -1.2125 "BLCA"
"Sample_5906" -0.430535 -0.247361 0.57605 -0.06792 0.04802 0.15575 -0.660372 -1.69267 -0.352497 -0.89401 -0.38247 -0.3988 -0.824204 -0.281713 -1.1909 "BLCA"
"Sample_5907" -0.194372 0.18407 -0.12522 1.29426 0.138501 0.21079 0.210728 0.21503 0.706165 -0.0769 -0.24772 0.64549 0.69815 1.19462 -0.064686 "BLCA"
"Sample_5908" 0.119939 0.18481 -0.53212 -0.0641 0.042591 -0.03149 -0.064044 -0.28941 0.050828 0.12669 1.09022 0.89959 0.1066 0.943753 -0.55043 "BLCA"
"Sample_5909" -0.008173 0.115065 -0.55819 -0.54595 0.099055 0.07082 0.158954 0.32247 -0.030502 0.31612 0.46896 0.12095 0.143564 0.342781 -0.069532 "BLCA"
"Sample_5910" 0.219911 0.59403 -0.63944 -0.55985 0.078707 0.15897 0.144261 0.28826 0.035854 0.09428 0.40634 0.24988 0.052549 -0.156702 -0.35455 "BLCA"
"Sample_5911" -0.701233 -0.165259 -0.32268 -0.31333 0.205904 0.42314 0.453671 0.22612 0.029271 0.02833 0.26374 0.08508 -0.290935 0.59792 -0.74468 "BLCA"
"Sample_5912" -0.641915 -0.201071 0.15601 0.02016 0.276908 0.41939 -0.85232 -1.61861 -1.413815 -0.80768 -1.07392 -0.82326 -2.36035 -1.627503 -3.1195 "BLCA"
"Sample_5913" -0.287055 0.127528 -0.0259 -0.06707 0.021486 0.03117 0.040701 -0.4531 -0.15373 -0.45264 -0.38666 0.27388 -0.407798 0.465299 -0.73765 "BLCA"
"Sample_5914" -0.13987 0.326609 -0.21634 -0.32977 0.03801 -0.09301 0.346898 -0.09012 -0.071407 -0.26515 -0.53358 0.50293 -0.034337 0.273449 -0.48036 "BLCA"
"Sample_5915" -0.922071 0.043934 -0.26075 -0.25789 0.014791 0.60141 -0.298626 0.21291 -0.035088 -0.76692 -0.10161 -0.37032 -0.985887 -0.545694 -1.6191 "BLCA"
"Sample_5916" -0.103789 -0.00331 -0.43527 -0.48875 -0.055333 0.12263 0.0926 0.32604 0.125954 0.1351 0.23914 0.02338 0.114468 0.059226 -0.43644 "BLCA"
"Sample_5917" 0.218184 -0.119056 -0.66731 -0.07404 0.096966 0.19013 0.426021 0.18718 -0.099771 -0.65122 0.40312 0.26532 0.268329 0.264673 -1.06 "BLCA"
"Sample_5918" 0.144782 -0.269797 -0.67118 -0.09758 0.078032 -0.01227 0.173429 0.25926 0.048362 0.47739 0.89429 0.09786 0.290208 0.201745 0.048771 "BLCA"
"Sample_5919" -0.816312 -0.40771 -0.29143 0.01794 0.131987 0.24134 -0.387534 -1.57511 -0.435334 -1.03573 -0.89494 -0.94446 -1.141806 -0.676323 -2.6983 "BLCA"
"Sample_5920" -0.073479 -0.179547 -0.59436 0.36684 0.107107 0.18814 0.132344 -0.79502 0.018961 -0.44012 0.02112 0.03166 0.246313 0.469164 -0.97185 "BLCA"
"Sample_5921" -0.271409 -0.284912 0.82603 -0.18374 0.088256 -0.0182 0.049633 -0.06043 -0.593218 -0.19027 0.17797 -0.24799 -0.137269 0.018967 -0.26657 "BLCA"
"Sample_5922" -0.011627 -0.050362 -0.39729 -0.32847 -0.050908 -0.09353 0.452308 0.05792 -0.128156 0.58431 0.7317 0.34956 -0.013934 -0.294141 -0.65768 "BLCA"
"Sample_5923" 0.586329 0.372684 -0.63455 -0.63312 0.000521 0.04396 0.522738 0.3908 0.151115 0.2622 1.09404 -0.21133 0.005875 0.05285 -0.51724 "BLCA"
"Sample_5924" -0.195786 -0.295851 -0.35479 0.08025 0.084275 0.05599 0.084032 -0.12687 -0.228388 -0.31984 -0.02676 -0.18071 0.016797 0.059226 -0.69529 "BLCA"
"Sample_5925" 0.182294 0.505648 -0.54954 -0.57422 -0.07263 -0.06884 0.560651 0.3812 0.10751 0.75674 0.2488 0.51302 0.453058 0.035047 0.1205 "BLCA"
"Sample_5926" -0.333201 -0.155769 -0.34494 -0.09816 0.014512 -0.00054 -0.005001 -0.38748 0.21129 -0.38977 -0.15149 0.27598 0.23475 0.479562 -0.7652 "BLCA"
"Sample_5927" -0.305867 -0.028624 -0.71273 -0.47569 0.155551 0.35081 0.3553 0.20666 -0.197547 0.3913 -0.28678 0.0651 0.396399 0.086937 -0.32569 "BLCA"
"Sample_5928" -0.369255 0.077256 -0.23314 -0.37861 0.076363 0.20446 -0.063171 -0.48112 -0.166495 -0.53705 -0.0875 -0.22961 -0.491504 -0.011607 -0.75671 "BLCA"
"Sample_5929" -0.471136 -0.396953 -0.60385 -0.28636 0.137818 0.21735 0.465068 -0.31237 -0.275552 -0.76706 -0.4426 -0.14411 -0.323165 0.30989 -0.83337 "BLCA"
"Sample_5930" -0.449859 -0.135169 -0.51011 -0.60333 -0.029705 -0.17929 -0.179676 0.23998 -0.054592 0.35004 0.08102 -0.0932 0.166975 0.18396 -0.35128 "BLCA"
"Sample_5931" -0.12255 0.453519 1.11455 0.10306 0.002504 -0.14904 0.10251 0.00125 -0.693896 -0.28017 0.29257 0.07305 -0.20891 0.432399 0.10172 "BLCA"
"Sample_5932" -0.715065 -0.173042 0.22368 -0.14271 0.186361 0.05084 -0.478334 -0.69987 -0.175656 -0.84315 0.00641 -0.97502 -0.860916 -0.23847 -1.3085 "BLCA"
"Sample_5933" -0.559003 0.288189 0.18946 0.03026 0.184856 0.23539 0.011252 -0.91654 0.302751 -1.24258 -0.84336 -0.24526 0.099429 0.164239 -1.8068 "BLCA"
"Sample_5934" -0.026561 0.239151 -0.52929 -0.50308 0.081569 0.17447 0.16955 0.28987 0.214592 0.27058 -0.01222 0.18896 0.239325 0.236823 -0.69282 "BLCA"
"Sample_5935" -0.211111 -0.168179 0.41392 -0.4619 0.188171 -0.06844 0.168292 0.05036 0.153715 0.14202 -0.59068 0.30852 0.087466 0.366543 -0.49205 "BLCA"
"Sample_5936" -0.752473 -0.422449 0.37177 -0.08196 0.152195 0.15296 -0.426549 -1.38556 -0.860149 -1.06134 -1.20771 -0.78876 -0.553309 -0.793596 -2.3779 "BLCA"
"Sample_5937" 0.136712 0.526485 -0.24707 0.00981 0.302899 0.32437 -0.157475 -1.71547 0.218687 -0.80817 -0.92379 -0.48496 -0.4274 0.037883 -1.3991 "BLCA"
"Sample_5938" -0.347414 0.654607 0.48405 0.13639 0.222896 0.73667 -1.004118 -1.75286 -1.276183 -1.08718 -1.15506 -1.09876 -1.784937 -1.583379 -3.3924 "BLCA"
"Sample_5939" -0.296843 0.167559 -0.19659 -0.26763 0.069166 0.3487 -0.872046 -0.38758 0.44025 -0.81505 -0.03477 -0.02561 0.016065 -0.19038 -1.3547 "BLCA"
"Sample_5940" -0.043698 -0.20426 -0.59948 -0.21393 0.056129 0.2572 0.191813 0.38938 -0.054793 0.25909 0.17308 -0.26438 -0.031753 0.012007 -0.49108 "BLCA"
"Sample_5941" 0.473489 0.75907 0.68512 -0.04338 0.268297 -0.01449 -0.102997 -1.18228 0.82127 -0.50746 -0.29957 -0.19766 0.375412 0.36569 -1.1787 "BLCA"
"Sample_5942" -0.112171 0.045899 0.13819 -0.04344 0.16084 -0.13352 0.215855 -0.23234 0.430531 -0.81002 -0.62441 0.12799 -0.042549 0.228195 -1.1454 "BLCA"
"Sample_5943" -0.183777 0.517886 -0.62103 -0.01058 0.378296 0.12061 -0.628189 -1.22746 -0.157825 -0.87616 -0.74416 -0.54942 -0.235867 0.135889 -2.9176 "BLCA"
"Sample_5944" -0.687879 0.1889 -0.5804 -0.10012 0.027548 0.04814 -0.118969 0.26028 -0.549144 0.31973 0.40193 -0.14728 -0.177447 0.178641 -0.20321 "BLCA"
